시도명,누적확진자(명),누적사망자(명),"발생률
(인구10만명당, 명)","사망률
(인구10만명당, 명)"
전북,"48,163",69,"61,789",89
전북,"14,233",11,"60,594",47
전북,"26,047",48,"51,996",96
전북,"13,990",53,"52,344",198
전북,"64,679",38,"69,982",41
전북,"180,663",264,"66,008",96
전북,"15,721",8,"59,307",30
전북,"10,480",10,"49,119",47
전북,"172,385",155,"54,052",49
전북,"304,125",252,"91,446",76
전북,"60,762",64,"57,824",61
전북,"11,287",9,"45,976",37
전남,"1,142,483","1,083","62,853",60
전남,"17,213",20,"51,882",60
전남,"31,771",62,"51,343",100
전남,"14,799",18,"54,690",67
전남,"96,173",37,"63,202",24
전남,"14,403",10,"58,418",41
전남,"80,149",66,"68,823",57
전남,"23,870",33,"52,127",72
전남,"158,962",135,"73,275",62
전남,"60,891",30,"67,203",33
전남,"21,603",23,"56,154",60
전남,"200,696",203,"72,002",73
전남,"11,383",14,"30,068",37
전남,"181,971",100,"66,228",36
전남,"29,441",28,"56,404",54
전남,"27,849",16,"53,152",31
전남,"22,630",22,"47,545",46
전남,"23,113",28,"53,569",65
전남,"20,403",27,"57,231",76
전남,"13,784",9,"46,714",31
전남,"15,435",17,"50,140",55
전남,"35,255",46,"53,554",70
전남,"40,689",139,"65,602",224
경북,"1,581,207","2,177","60,804",84
경북,"182,619",256,"68,211",96
경북,"139,427",208,"55,859",83
경북,"14,115",21,"46,503",69
경북,"282,175",180,"69,142",44
경북,"8,961",14,"38,393",60
경북,"83,791",117,"60,141",84
경북,"42,036",77,"59,733",109
경북,"13,118",26,"43,525",86
경북,"49,967",96,"52,695",101
경북,"18,138",38,"42,611",89
경북,"98,574",307,"63,757",199
경북,"18,181",32,"52,470",92
경북,"6,936",8,"43,290",50
경북,"64,323",81,"63,845",80
경북,"55,505",62,"54,908",61
경북,"33,080",33,"59,331",59
경북,"2,357",5,"26,201",56
경북,"23,564",30,"50,104",64
경북,"23,763",45,"47,350",90
경북,"19,901",41,"47,823",99
경북,"11,715",15,"48,220",62
경북,"64,251",71,"57,119",63
경북,"165,513",193,"72,757",85
경북,"159,197",221,"59,145",82
경남,"2,075,991","2,065","63,283",63
경남,"152,204",62,"64,313",26
경남,"34,100",91,"56,469",151
경남,"25,524",35,"50,595",69
경남,"348,973",226,"65,213",42
경남,"18,641",21,"44,833",51
경남,"57,795",74,"56,142",72
경남,"71,958",98,"65,794",90
경남,"15,975",27,"46,947",79
경남,"230,999",181,"65,292",51
경남,"12,409",20,"47,615",77
경남,"222,687",323,"64,776",94
경남,"30,608",50,"52,436",86
경남,"132,978",202,"74,084",113
경남,"94,467",146,"51,435",79
